weights,total_change,ret_std,change_per_ret_std,d2,d3,d4,same_sign_days
"PEBBLES_L:-0.167, PEBBLES_M:0.250, PEBBLES_S:0.250, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",7901.775900000002,29.477637510330002,268.06001319579775,3927.7440499999993,484.83510000000206,3489.196750000001,True
"PEBBLES_L:-0.583, PEBBLES_M:0.667, PEBBLES_S:0.250, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8560.281149999997,31.934554069116064,268.0570122091873,3474.1763999999966,961.8377,4124.26705,True
"PEBBLES_L:0.375, PEBBLES_M:0.375, PEBBLES_S:-0.875, PEBBLES_XL:1.000, PEBBLES_XS:-0.875",11251.375,42.03520381234235,267.6655274524059,5786.125,755.5,4709.75,True
"PEBBLES_L:-0.667, PEBBLES_M:1.000, PEBBLES_S:-0.250, PEBBLES_XL:0.583, PEBBLES_XS:-0.667",8003.62445,29.90610301706574,267.625121381839,2600.230800000001,1383.6870499999995,4019.7065999999995,True
"PEBBLES_L:0.154, PEBBLES_M:0.154, PEBBLES_S:-0.231, PEBBLES_XL:0.923, PEBBLES_XS:-1.000",10062.634100000001,37.60225111233171,267.60722569346245,5401.57445,262.4111499999999,4398.648500000001,True
"PEBBLES_L:-0.333, PEBBLES_M:0.667, PEBBLES_S:0.333, PEBBLES_XL:0.333, PEBBLES_XS:-1.000",6129.020549999999,22.9166894771841,267.4479032454519,2204.8760999999995,1688.3220999999994,2235.8223500000004,True
"PEBBLES_L:0.818, PEBBLES_M:0.364, PEBBLES_S:-1.000, PEBBLES_XL:0.818, PEBBLES_XS:-1.000",10474.661200000002,39.17337736699207,267.39234408790264,5523.922700000003,1583.504799999997,3367.2337000000025,True
"PEBBLES_L:-0.538, PEBBLES_M:1.000, PEBBLES_S:-0.538, PEBBLES_XL:0.615, PEBBLES_XS:-0.538",8140.049150000003,30.447849698699038,267.34397438738694,2723.5445500000014,1345.3024999999993,4071.202100000002,True
"PEBBLES_L:0.818, PEBBLES_M:0.364, PEBBLES_S:-0.545, PEBBLES_XL:0.364, PEBBLES_XS:-1.000",6797.142599999997,25.43049005571989,267.2831937216706,3471.715,2208.8247999999985,1116.6027999999988,True
"PEBBLES_L:0.562, PEBBLES_M:0.250, PEBBLES_S:-0.062, PEBBLES_XL:0.250, PEBBLES_XS:-1.000",5305.8125,19.878313435721108,266.91462116023956,2734.1875,1839.34375,732.28125,True
"PEBBLES_L:-0.091, PEBBLES_M:0.818, PEBBLES_S:-1.000, PEBBLES_XL:0.818, PEBBLES_XS:-0.545",9789.887750000005,36.68362942212338,266.8734774671958,4095.3203500000027,1150.2534999999998,4544.313900000003,True
